Order Date,Category,Sales
16/11/2017,Office Supplies,28.4
7/11/2017,Office Supplies,27.68
8/9/2015,Office Supplies,9.936
8/9/2015,Technology,8159.952
8/9/2015,Office Supplies,275.928
8/9/2015,Furniture,1740.06
8/9/2015,Office Supplies,32.064
8/9/2015,Office Supplies,177.98
8/9/2015,Technology,143.976
5/8/2015,Office Supplies,20.94
5/8/2015,Office Supplies,110.96
5/8/2015,Furniture,340.144
14/09/2015,Office Supplies,52.448
14/09/2015,Office Supplies,20.16
21/04/2018,Office Supplies,97.264
21/11/2016,Furniture,396.802
21/11/2016,Office Supplies,15.88
15/12/2016,Office Supplies,3.28
5/12/2015,Office Supplies,24.816
5/12/2015,Technology,408.744
19/11/2015,Technology,503.96
19/11/2015,Technology,149.95
19/11/2015,Technology,29
28/11/2017,Office Supplies,7.16
26/08/2015,Technology,176.8
16/07/2017,Office Supplies,37.224
16/07/2017,Office Supplies,20.016
12/10/2016,Furniture,899.136
12/10/2016,Technology,71.76
12/10/2016,Office Supplies,51.84
12/10/2016,Furniture,626.352
12/10/2016,Office Supplies,19.9
31/10/2016,Office Supplies,14.28
21/03/2015,Office Supplies,7.408
21/03/2015,Office Supplies,6.048
6/11/2018,Office Supplies,46.26
6/7/2018,Office Supplies,2.946
6/7/2018,Office Supplies,16.056
24/06/2018,Office Supplies,21.744
3/8/2015,Furniture,218.75
3/8/2015,Office Supplies,2.6
17/12/2018,Office Supplies,66.284
3/6/2018,Furniture,35.168
9/12/2018,Technology,444.768
1/12/2018,Office Supplies,83.92
1/12/2018,Technology,131.98
1/12/2018,Office Supplies,15.92
1/12/2018,Office Supplies,52.29
1/12/2018,Office Supplies,91.99
9/2/2016,Technology,20.8
2/1/2016,Office Supplies,23.68
2/1/2016,Furniture,452.45
2/1/2016,Technology,62.982
2/1/2016,Technology,1188
2/1/2016,Technology,89.584
28/10/2017,Office Supplies,93.06
28/10/2017,Technology,302.376
24/12/2016,Office Supplies,5.584
24/12/2016,Office Supplies,22.704
24/12/2016,Office Supplies,19.776
24/12/2016,Furniture,72.704
24/12/2016,Technology,479.988
24/12/2016,Office Supplies,27.168
9/8/2016,Office Supplies,2.2
9/8/2016,Furniture,622.45
9/8/2016,Office Supplies,21.98
28/02/2016,Furniture,161.568
28/02/2016,Furniture,389.696
13/09/2015,Office Supplies,18.648
7/4/2018,Furniture,233.86
7/4/2018,Furniture,620.6145
7/4/2018,Office Supplies,5.328
7/4/2018,Furniture,258.072
7/4/2018,Technology,617.976
12/11/2018,Office Supplies,10.56
4/6/2017,Office Supplies,25.92
4/6/2017,Furniture,419.68
4/6/2017,Furniture,11.688
4/6/2017,Technology,31.984
4/6/2017,Furniture,177.225
4/6/2017,Furniture,4.044
4/6/2017,Office Supplies,7.408
1/6/2015,Furniture,2001.86
1/6/2015,Office Supplies,166.72
1/6/2015,Office Supplies,47.88
1/6/2015,Office Supplies,1503.25
1/6/2015,Office Supplies,25.92
10/12/2017,Furniture,321.568
11/9/2017,Office Supplies,7.61
11/9/2017,Technology,3347.37
10/12/2017,Office Supplies,80.58
10/12/2017,Office Supplies,361.92
28/11/2016,Furniture,12.132
28/11/2016,Office Supplies,82.368
28/11/2016,Office Supplies,53.92
28/11/2016,Technology,647.904
1/12/2018,Technology,20.37
1/12/2018,Office Supplies,221.55
1/12/2018,Office Supplies,17.52
8/6/2018,Office Supplies,1.624
19/09/2015,Technology,3059.982
19/09/2015,Technology,2519.958
6/6/2017,Technology,328.224
10/11/2016,Technology,79.9
16/06/2018,Office Supplies,14.016
22/01/2017,Office Supplies,7.56
9/12/2018,Office Supplies,37.208
9/12/2018,Office Supplies,57.576
28/12/2018,Office Supplies,725.84
30/07/2016,Technology,209.93
30/07/2016,Furniture,5.28
30/07/2016,Office Supplies,10.92
16/09/2018,Office Supplies,8.82
16/09/2018,Office Supplies,5.98
13/10/2018,Office Supplies,11.648
13/10/2018,Office Supplies,18.176
13/10/2018,Office Supplies,59.712
13/10/2018,Office Supplies,24.84
26/09/2016,Office Supplies,2.08
26/09/2016,Technology,1114.4
2/11/2016,Furniture,1038.84
26/09/2016,Office Supplies,141.76
26/09/2016,Technology,239.8
26/09/2016,Office Supplies,31.104
18/12/2017,Office Supplies,254.058
18/12/2017,Office Supplies,194.528
18/12/2017,Office Supplies,961.48
20/11/2017,Office Supplies,19.096
20/11/2017,Office Supplies,18.496
20/11/2017,Technology,255.984
20/11/2017,Furniture,86.97
26/12/2015,Furniture,300.416
26/12/2015,Furniture,230.352
26/12/2015,Furniture,218.352
26/12/2015,Office Supplies,78.6
26/12/2015,Office Supplies,27.552
28/10/2017,Office Supplies,32.4
28/10/2017,Office Supplies,1082.48
28/10/2017,Office Supplies,56.91
28/10/2017,Furniture,77.6
28/10/2017,Office Supplies,14.28
19/11/2018,Furniture,219.075
4/5/2016,Furniture,26.8
30/12/2015,Office Supplies,9.84
1/6/2015,Office Supplies,45.48
1/6/2015,Office Supplies,289.2
15/04/2018,Office Supplies,4.89
12/9/2017,Furniture,15.136
12/9/2017,Furniture,466.768
12/9/2017,Furniture,15.232
12/9/2017,Office Supplies,6.264
27/09/2015,Furniture,87.54
9/8/2015,Technology,178.384
9/8/2015,Office Supplies,15.552
28/12/2015,Office Supplies,99.136
4/11/2015,Furniture,135.882
4/11/2015,Technology,3991.98
4/11/2015,Technology,275.94
4/11/2015,Technology,360
4/11/2015,Office Supplies,43.57
19/09/2015,Office Supplies,7.16
23/04/2017,Office Supplies,251.52
23/04/2017,Technology,99.99
3/11/2018,Furniture,15.992
30/08/2017,Technology,290.898
30/08/2017,Office Supplies,54.224
30/08/2017,Furniture,786.744
30/08/2017,Office Supplies,100.24
30/08/2017,Office Supplies,37.764
25/04/2017,Technology,82.8
25/04/2017,Office Supplies,20.724
25/04/2017,Office Supplies,4.896
1/9/2016,Office Supplies,4.752
1/9/2016,Technology,959.984
1/9/2016,Office Supplies,14.368
12/7/2015,Office Supplies,7.712
12/7/2015,Furniture,698.352
22/06/2016,Office Supplies,4.96
13/04/2015,Office Supplies,17.856
13/04/2015,Office Supplies,509.97
13/04/2015,Office Supplies,30.992
13/04/2015,Technology,71.928
20/12/2016,Office Supplies,88.8
15/06/2018,Technology,47.976
8/7/2018,Office Supplies,7.56
8/7/2018,Office Supplies,24.56
8/7/2018,Office Supplies,12.96
1/9/2017,Technology,6.79
1/9/2017,Office Supplies,24.56
1/9/2017,Office Supplies,3.048
1/9/2017,Office Supplies,49.12
1/9/2017,Office Supplies,4355.168
8/4/2017,Furniture,388.704
8/4/2017,Office Supplies,8.26
8/4/2017,Office Supplies,17.04
8/4/2017,Office Supplies,34.4
23/04/2017,Office Supplies,36.24
8/3/2018,Office Supplies,647.84
8/3/2018,Office Supplies,20.7
25/09/2018,Office Supplies,20.7
25/09/2018,Furniture,488.646
25/09/2018,Office Supplies,5.56
25/09/2018,Furniture,47.12
24/09/2015,Office Supplies,211.96
21/10/2017,Office Supplies,23.2
21/10/2017,Office Supplies,7.36
21/10/2017,Office Supplies,104.79
21/10/2017,Furniture,1043.92
29/05/2018,Office Supplies,25.92
29/05/2018,Office Supplies,53.424
23/07/2015,Office Supplies,8.16
23/07/2015,Technology,1023.936
23/07/2015,Office Supplies,9.24
23/07/2015,Technology,479.04
28/09/2017,Office Supplies,99.136
27/08/2018,Furniture,1488.424
28/04/2016,Office Supplies,8.652
28/04/2016,Office Supplies,23.832
28/04/2016,Office Supplies,12.176
28/10/2017,Office Supplies,50.96
28/10/2017,Office Supplies,49.536
26/06/2016,Technology,41.9
27/11/2016,Furniture,375.4575
27/11/2016,Technology,83.976
3/12/2016,Technology,482.34
3/12/2016,Furniture,2.96
24/11/2015,Office Supplies,2.624
11/12/2018,Office Supplies,23.36
11/12/2018,Technology,39.98
21/09/2015,Technology,246.384
21/09/2015,Technology,1799.97
7/6/2015,Office Supplies,12.462
30/06/2018,Office Supplies,75.792
17/10/2018,Office Supplies,49.96
17/10/2018,Office Supplies,12.96
31/10/2016,Office Supplies,70.12
8/9/2017,Office Supplies,35.952
8/9/2017,Furniture,2396.2656
8/9/2017,Office Supplies,131.136
8/9/2017,Technology,57.584
24/12/2015,Office Supplies,9.568
16/04/2015,Office Supplies,39.072
24/12/2018,Office Supplies,35.91
8/12/2018,Technology,179.95
8/12/2018,Technology,1199.976
8/12/2018,Office Supplies,27.15
8/12/2018,Furniture,1004.024
8/12/2018,Office Supplies,9.68
8/12/2018,Office Supplies,28.35
8/12/2018,Office Supplies,55.98
8/12/2018,Furniture,1336.829
8/12/2018,Furniture,113.568
3/11/2018,Office Supplies,139.86
3/11/2018,Furniture,307.136
24/06/2018,Office Supplies,95.92
14/04/2017,Furniture,383.8
6/11/2018,Office Supplies,5.78
4/3/2018,Office Supplies,9.32
4/3/2018,Office Supplies,15.25
22/06/2015,Technology,196.752
19/10/2018,Furniture,56.56
19/10/2018,Office Supplies,32.7
21/08/2018,Furniture,866.4
23/11/2018,Furniture,28.4
23/11/2018,Office Supplies,287.92
12/9/2015,Technology,69.99
1/10/2018,Office Supplies,6.672
15/04/2017,Office Supplies,189.588
15/04/2017,Technology,408.744
15/04/2017,Technology,291.96
15/04/2017,Office Supplies,4.768
6/6/2017,Office Supplies,714.3
19/12/2015,Office Supplies,4.812
19/12/2015,Technology,247.8
12/6/2017,Technology,1007.979
12/6/2017,Office Supplies,313.488
15/09/2018,Office Supplies,31.872
20/01/2018,Furniture,207.846
5/9/2017,Furniture,12.22
5/9/2017,Office Supplies,194.94
5/9/2017,Office Supplies,70.95
5/9/2017,Office Supplies,91.36
5/9/2017,Furniture,242.94
5/9/2017,Office Supplies,22.05
20/03/2018,Furniture,2.91
1/4/2017,Office Supplies,59.52
1/4/2017,Office Supplies,161.94
1/4/2017,Office Supplies,263.88
1/4/2017,Office Supplies,30.48
1/4/2017,Office Supplies,9.84
1/4/2017,Technology,35.12
20/10/2018,Furniture,284.364
20/10/2018,Office Supplies,665.408
13/12/2017,Technology,63.88
12/2/2015,Furniture,129.568
26/09/2017,Furniture,747.558
26/09/2017,Office Supplies,8.928
15/12/2016,Office Supplies,103.92
15/12/2016,Technology,899.91
15/12/2016,Office Supplies,51.312
22/04/2017,Furniture,23.56
22/04/2017,Furniture,1272.63
22/04/2017,Office Supplies,28.485
22/04/2017,Office Supplies,185.376
22/04/2017,Office Supplies,78.272
17/01/2016,Furniture,254.744
31/03/2018,Furniture,205.3328
16/12/2017,Office Supplies,4.788
20/12/2016,Office Supplies,55.48
9/11/2015,Office Supplies,340.92
9/11/2015,Furniture,222.666
9/11/2015,Technology,703.968
9/11/2015,Office Supplies,92.52
9/11/2015,Office Supplies,62.65
9/11/2015,Office Supplies,94.85
12/7/2017,Technology,95.76
27/10/2017,Furniture,40.2
26/06/2017,Office Supplies,14.7
26/06/2017,Office Supplies,704.25
6/10/2015,Technology,9.09
22/07/2015,Office Supplies,5.96
22/07/2015,Technology,159.98
10/6/2018,Office Supplies,29.6
10/6/2018,Furniture,514.165
10/6/2018,Technology,279.96
29/10/2015,Technology,2735.952
9/6/2015,Technology,7.992
9/6/2015,Technology,63.984
9/6/2015,Office Supplies,70.368
14/09/2015,Office Supplies,449.15
14/09/2015,Office Supplies,11.07
9/5/2017,Technology,93.98
18/03/2017,Furniture,189.882
27/12/2016,Office Supplies,105.42
25/07/2017,Office Supplies,119.616
25/07/2017,Furniture,255.76
25/07/2017,Furniture,241.568
25/07/2017,Furniture,69.3
30/05/2017,Office Supplies,22.62
30/05/2017,Office Supplies,14.952
30/05/2017,Furniture,801.568
30/05/2017,Office Supplies,2.376
30/05/2017,Office Supplies,32.792
12/11/2018,Office Supplies,15.92
16/03/2016,Office Supplies,2.74
16/03/2016,Office Supplies,8.34
16/03/2016,Office Supplies,46.74
16/03/2016,Office Supplies,6354.95
26/11/2018,Furniture,126.3
26/11/2018,Technology,38.04
20/10/2017,Office Supplies,7.152
21/12/2018,Office Supplies,6.63
21/12/2018,Office Supplies,5.88
22/01/2018,Technology,2999.95
22/01/2018,Office Supplies,51.45
22/01/2018,Office Supplies,11.96
22/01/2018,Office Supplies,1126.02
22/03/2016,Technology,18.392
22/03/2016,Office Supplies,129.568
22/03/2016,Office Supplies,14.112
23/01/2018,Furniture,210.98
21/05/2017,Technology,55.176
21/05/2017,Technology,66.26
26/12/2016,Office Supplies,22.2
21/10/2018,Furniture,683.952
21/10/2018,Furniture,45.696
3/9/2016,Office Supplies,36.336
3/9/2016,Office Supplies,666.248
3/9/2016,Office Supplies,52.512
7/11/2016,Furniture,190.72
7/9/2018,Furniture,47.94
29/05/2017,Technology,979.95
29/05/2017,Office Supplies,22.75
10/7/2017,Office Supplies,16.768
3/9/2018,Office Supplies,42.616
3/12/2016,Office Supplies,10.752
7/12/2016,Office Supplies,152.94
7/12/2016,Furniture,283.92
1/2/2015,Technology,468.9
14/07/2017,Technology,380.864
18/12/2016,Office Supplies,646.776
11/5/2015,Technology,58.112
11/5/2015,Technology,100.792
11/5/2015,Furniture,66.112
19/11/2018,Office Supplies,41.28
19/11/2018,Office Supplies,13.36
15/11/2016,Office Supplies,250.272
15/11/2016,Office Supplies,11.364
15/11/2016,Office Supplies,8.72
15/04/2017,Furniture,1121.568
11/9/2018,Furniture,34.504
24/11/2018,Office Supplies,10.824
29/06/2018,Office Supplies,1295.78
3/3/2015,Office Supplies,19.456
10/6/2017,Office Supplies,20.7
10/6/2017,Furniture,1335.68
10/6/2017,Office Supplies,32.4
20/11/2018,Furniture,42.6
20/11/2018,Office Supplies,84.056
14/09/2015,Office Supplies,13
14/09/2015,Furniture,13.128
7/12/2016,Office Supplies,3.96
7/12/2016,Office Supplies,2.61
7/12/2018,Technology,374.376
1/10/2018,Office Supplies,91.84
1/10/2018,Office Supplies,81.088
1/10/2018,Office Supplies,19.44
1/10/2018,Furniture,451.152
28/12/2018,Office Supplies,72.45
28/12/2018,Office Supplies,13.96
28/12/2018,Office Supplies,33.264
28/12/2018,Technology,14.85
3/11/2017,Office Supplies,8.82
18/09/2016,Office Supplies,160.72
18/09/2016,Office Supplies,19.92
18/09/2016,Office Supplies,7.3
20/07/2018,Office Supplies,69.712
20/07/2018,Furniture,8.792
10/9/2016,Office Supplies,51.52
1/12/2018,Technology,470.376
1/12/2018,Technology,105.584
1/12/2018,Office Supplies,31.152
1/12/2018,Office Supplies,6.783
1/12/2018,Technology,406.368
3/7/2016,Furniture,70.98
3/7/2016,Office Supplies,294.93
20/03/2017,Technology,84.784
20/03/2017,Office Supplies,20.736
20/03/2017,Office Supplies,16.821
20/03/2017,Office Supplies,10.368
9/1/2015,Office Supplies,9.344
9/1/2015,Technology,31.2
8/8/2015,Office Supplies,76.12
8/8/2015,Technology,1199.976
8/8/2015,Technology,445.96
8/8/2015,Furniture,327.76
14/07/2017,Office Supplies,11.632
16/07/2017,Technology,143.982
16/07/2017,Technology,494.376
16/07/2017,Office Supplies,5.84
15/03/2015,Office Supplies,142.776
15/03/2015,Furniture,45.696
15/03/2015,Office Supplies,7.218
15/03/2015,Office Supplies,43.188
15/03/2015,Office Supplies,131.904
23/05/2015,Office Supplies,3.282
23/05/2015,Office Supplies,21.168
23/05/2015,Technology,55.188
28/04/2017,Technology,369.576
28/04/2017,Office Supplies,15.712
11/9/2017,Office Supplies,8.448
11/9/2017,Technology,728.946
14/11/2018,Technology,119.94
14/11/2018,Office Supplies,3.648
18/08/2018,Furniture,40.48
18/08/2018,Furniture,9.94
18/08/2018,Office Supplies,107.424
18/08/2018,Technology,37.91
18/08/2018,Furniture,88.02
26/12/2015,Office Supplies,8.69
29/11/2016,Furniture,301.96
29/11/2016,Office Supplies,555.21
29/11/2016,Office Supplies,523.48
29/11/2016,Office Supplies,161.82
15/09/2018,Furniture,35.56
19/05/2018,Office Supplies,97.16
17/12/2018,Office Supplies,15.24
17/12/2018,Office Supplies,13.23
11/12/2017,Office Supplies,243.384
11/12/2017,Technology,119.8
11/12/2017,Technology,300.768
24/09/2018,Technology,17.88
24/09/2018,Office Supplies,235.944
4/10/2016,Furniture,392.94
15/08/2017,Office Supplies,18.882
15/08/2017,Office Supplies,122.328
20/05/2017,Furniture,1049.2
20/05/2017,Office Supplies,15.424
18/12/2017,Furniture,18.84
30/07/2018,Office Supplies,330.4
30/07/2018,Office Supplies,26.25
10/6/2018,Technology,132.52
21/07/2018,Office Supplies,6.48
30/12/2018,Office Supplies,209.3
1/4/2017,Office Supplies,31.56
1/4/2017,Office Supplies,30.144
11/12/2017,Furniture,14.8
11/12/2017,Technology,302.376
11/12/2017,Technology,316
23/10/2017,Office Supplies,379.4
19/06/2018,Office Supplies,97.82
19/06/2018,Technology,103.12
22/08/2017,Office Supplies,113.552
22/08/2017,Office Supplies,3.318
22/08/2017,Office Supplies,134.288
19/09/2017,Furniture,701.372
19/09/2017,Office Supplies,2.308
24/08/2016,Office Supplies,999.432
24/08/2016,Office Supplies,724.08
24/08/2016,Furniture,918.785
24/08/2016,Office Supplies,2.724
26/03/2017,Office Supplies,459.95
4/11/2017,Office Supplies,10.74
8/6/2018,Office Supplies,23.76
8/6/2018,Office Supplies,85.056
8/6/2018,Technology,381.576
24/12/2015,Furniture,30.36
9/6/2018,Furniture,23.976
9/6/2018,Furniture,108.925
9/6/2018,Office Supplies,36.352
15/06/2018,Office Supplies,19.56
5/12/2018,Office Supplies,61.44
5/12/2018,Office Supplies,38.9
5/12/2018,Technology,99.39
18/03/2018,Office Supplies,2.688
18/03/2018,Technology,27.816
18/03/2018,Furniture,82.524
18/03/2018,Office Supplies,182.994
19/11/2017,Office Supplies,14.352
19/11/2017,Office Supplies,64.96
19/11/2017,Office Supplies,68.6
4/11/2018,Technology,7999.98
4/11/2018,Office Supplies,167.44
5/7/2015,Technology,479.97
5/7/2015,Office Supplies,14.62
5/7/2015,Office Supplies,19.44
25/12/2018,Furniture,191.984
21/06/2015,Furniture,104.01
21/06/2015,Technology,284.82
21/06/2015,Office Supplies,36.84
28/03/2016,Technology,166.24
28/03/2016,Office Supplies,33.4
14/05/2016,Office Supplies,198.272
14/05/2016,Office Supplies,47.36
14/05/2016,Office Supplies,200.984
14/05/2016,Office Supplies,97.696
14/05/2016,Office Supplies,2.696
14/05/2016,Office Supplies,18.588
14/05/2016,Office Supplies,4.896
2/9/2018,Furniture,15.072
4/11/2017,Furniture,209.88
9/4/2016,Furniture,369.912
12/9/2015,Office Supplies,10.368
12/9/2015,Office Supplies,166.84
12/9/2015,Technology,15.216
2/12/2015,Technology,119.96
2/12/2015,Furniture,883.92
2/12/2015,Office Supplies,46.72
5/4/2015,Office Supplies,55.48
3/9/2018,Office Supplies,24.448
19/05/2018,Office Supplies,281.34
19/05/2018,Technology,307.98
19/05/2018,Technology,299.97
1/7/2015,Office Supplies,19.92
11/1/2015,Furniture,9.94
24/09/2018,Furniture,103.056
2/6/2015,Office Supplies,59.808
2/6/2015,Furniture,73.32
13/02/2017,Office Supplies,146.82
15/12/2017,Furniture,1652.94
15/12/2017,Office Supplies,296.37
7/10/2015,Furniture,129.92
7/7/2017,Office Supplies,45.584
16/09/2018,Office Supplies,17.568
16/09/2018,Technology,55.992
3/12/2017,Office Supplies,182.72
3/12/2017,Furniture,400.032
3/12/2017,Office Supplies,33.63
3/12/2017,Furniture,542.646
3/12/2017,Office Supplies,6.3
21/01/2018,Office Supplies,242.94
21/01/2018,Technology,179.97
21/01/2018,Office Supplies,99.696
21/01/2018,Office Supplies,27.936
21/01/2018,Furniture,84.98
21/01/2018,Office Supplies,18.72
8/9/2015,Technology,49.98
4/1/2015,Office Supplies,11.784
4/1/2015,Office Supplies,272.736
4/1/2015,Office Supplies,3.54
27/08/2017,Office Supplies,51.52
27/08/2017,Office Supplies,3.528
27/08/2017,Office Supplies,4.624
27/08/2017,Office Supplies,55.168
27/05/2015,Furniture,567.12
27/05/2015,Office Supplies,359.32
20/03/2017,Technology,11.992
2/10/2018,Office Supplies,58.05
2/10/2018,Furniture,157.74
2/10/2018,Office Supplies,56.98
2/10/2018,Office Supplies,2.88
7/4/2017,Technology,1199.976
7/12/2016,Furniture,79.92
18/09/2017,Furniture,383.438
29/12/2015,Office Supplies,24.56
29/12/2015,Technology,119.8
23/07/2018,Office Supplies,13.128
18/09/2018,Office Supplies,22.72
31/08/2016,Office Supplies,58.32
3/11/2018,Office Supplies,12.39
8/2/2016,Technology,107.982
13/01/2015,Office Supplies,11.36
13/01/2015,Office Supplies,50.94
13/01/2015,Technology,646.74
13/01/2015,Office Supplies,5.64
13/01/2015,Office Supplies,572.58
14/05/2015,Furniture,310.88
19/05/2017,Furniture,641.96
30/01/2018,Office Supplies,18.28
30/01/2018,Technology,207
30/01/2018,Office Supplies,32.35
30/01/2018,Office Supplies,7.71
30/01/2018,Office Supplies,40.3
30/01/2018,Furniture,34.58
29/06/2015,Office Supplies,32.76
21/08/2016,Furniture,544.008
21/08/2016,Office Supplies,59.94
21/08/2016,Office Supplies,23.92
21/08/2016,Office Supplies,4.28
3/10/2016,Office Supplies,32.07
3/10/2016,Technology,24
3/10/2016,Furniture,35.49
3/10/2016,Technology,47.984
23/05/2016,Office Supplies,186.69
17/03/2018,Office Supplies,17.456
12/12/2016,Furniture,348.928
26/06/2016,Office Supplies,143.96
26/06/2016,Office Supplies,15.42
26/06/2016,Office Supplies,43.04
26/06/2016,Furniture,332.94
20/05/2017,Technology,1363.96
20/09/2015,Office Supplies,9.96
20/09/2015,Office Supplies,21.72
21/09/2018,Office Supplies,20.16
24/12/2016,Office Supplies,132.79
24/12/2016,Office Supplies,12.96
24/12/2016,Office Supplies,21.56
27/11/2016,Furniture,283.92
20/02/2018,Furniture,22.23
20/02/2018,Technology,215.968
18/08/2017,Office Supplies,355.32
12/3/2017,Office Supplies,12.96
22/04/2018,Furniture,18.28
1/11/2015,Office Supplies,43.176
1/11/2015,Technology,1983.968
3/2/2016,Furniture,28.4
3/2/2016,Technology,149.97
13/10/2015,Office Supplies,11.52
13/10/2015,Furniture,1298.55
13/10/2015,Office Supplies,213.92
13/10/2015,Technology,25.78
14/05/2018,Furniture,18.28
14/05/2018,Technology,1399.93
20/03/2016,Office Supplies,51.84
15/09/2017,Office Supplies,5.344
28/06/2015,Office Supplies,41.472
28/06/2015,Office Supplies,3.168
28/06/2015,Furniture,1228.465
